id,juris,city,name,max_far,max_height,max_dua,max_du_per_parcel,HS,HT,HM,OF,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,plandate
2101,1.0,Albany,RHD,0.5,35.0,9.0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2102,1.0,Albany,R-1,0.55,28.0,12.0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2103,1.0,Albany,R-2,0.55,35.0,35.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2104,1.0,Albany,R-3,1.5,35.0,63.0,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2105,1.0,Albany,R.4,,,87.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2106,1.0,Albany,SPC,2.25,38.0,63.0,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,
2107,1.0,Albany,SC,1.25,35.0,63.0,,1,0,1,1,0,1,0,0,0,1,0,0,1,0,
2108,1.0,Albany,CMX,0.5,45.0,,,0,0,0,1,0,1,1,0,0,1,0,0,1,0,
2109,1.0,Albany,PF,,40.0,0.0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
2110,1.0,Albany,WF,0.5,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2111,1.0,Albany,U,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2201,2.0,Berkeley,R-1,1.2,35.0,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2202,2.0,Berkeley,R-1H,1.2,35.0,8.712,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
2203,2.0,Berkeley,R-1A,1.2,35.0,17.424,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,
2204,2.0,Berkeley,ES-R,0.3,35.0,1.7424,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
2205,2.0,Berkeley,R-2,1.5,35.0,18.66857143,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2206,2.0,Berkeley,R-2H,1.5,35.0,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2207,2.0,Berkeley,R-2A,1.5,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2208,2.0,Berkeley,R-2AH,1.5,35.0,8.712,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2209,2.0,Berkeley,R-3,1.2,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2210,2.0,Berkeley,R-3H,1.2,35.0,26.4,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,
2211,2.0,Berkeley,R-4,2.1,65.0,40.0,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
2212,2.0,Berkeley,R-4H,1.05,35.0,20.0,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,
2214,2.0,Berkeley,R-5H,1.2,35.0,100.0,,1,1,1,1,1,1,0,0,0,0,0,1,0,0,
2215,2.0,Berkeley,C-1,3.0,50.0,26.4,,1,1,1,1,1,1,0,0,0,1,1,1,0,0,
