Strategy Category,Strategy ID,Strategy Name,Modeled in BAUS?,BAUS modeling approach (brief description),BAUS implementation name (in run_setup.yaml),Main Function,Main entry point,Comment
Housing,H1,Further Strengthen Renter Protections Beyond State Law,yes,Relocation rate adjustments,run_renter_protections_strategy,models.household_relocation(),https://github.com/BayAreaMetro/bayarea_urbansim/blob/dffd31ed14aaa582cbdeafdedbaef2acf416b2dd/baus/models.py#L408,
Housing,H2,Preserve Existing Affordable Housing,yes,Random selection of housing to preserve within geographic targets,run_housing_preservation_strategy,preserve_affordable,https://github.com/BayAreaMetro/bayarea_urbansim/blob/dffd31ed14aaa582cbdeafdedbaef2acf416b2dd/baus/subsidies.py#L65,
Housing,H3,Allow a Greater Mix of Housing Densities and Types in Growth Geographies,yes,Zoning changes to DUA and allowed uses,File it relies on is always implemented since No Project runs have a UGB implemented through the zoning modifications file,variables.max_dua; variables_max_far; variables.far_is_allowed,https://github.com/BayAreaMetro/bayarea_urbansim/blob/dffd31ed14aaa582cbdeafdedbaef2acf416b2dd/baus/variables.py#L791,"A script prepares the mods based on growth geography columns identified, and associated modifications (/scripts/strategy_building/build_zoningmods_general.py)"
Housing,H4,Build Adequate Affordable Housing to Ensure Homes for All,yes,Housing subsidy model that creates deed restricted units in buildings by filling project feasibility gaps,run_housing_bond_strategy,"subsidies.coffer, subsidies.lump_sum_accounts, subsidies.subsidized_residential_developer_lump_sum_accts",,"See box notes on the flow, courtesy of CoPilot https://mtcdrive.app.box.com/notes/1800096123754 )"
Housing,H5,Integrate Affordable Housing into All Major Housing Projects,yes,Inclusionary zoning model feature for projects,run_inclusionary_zoning_strategy,subsidies.inclusionary_housing_revenue_reduction(),https://github.com/BayAreaMetro/bayarea_urbansim/blob/a62d45c91fd6c343637fd74e389927f1ae5b236c/baus/subsidies.py#L192C5-L192C44,
Housing,H6,Transform Aging Malls and Office Parks into Neighborhoods,yes,express these priority sites as development pipeline entries,"Currently no means of specifying additional tables to append to / replace dev pipeline entries with; it seems like this strategy is ""turned on/off"" just by changing the dev pipeline input file",,,
Housing,H7,"Provide Targeted Mortgage, Rental and Small Business Assistance to Equity Priority Communities",no,,,,,
Housing,H8,Accelerate Reuse of Public and Community Land for Mixed-Income Housing and Essential Services,yes,express these priority sites as development pipeline entries,"Currently no means of specifying additional tables to append to / replace dev pipeline entries with; it seems like this strategy is ""turned on/off"" just by changing the dev pipeline input file",,,
Economy,EC1,Implement a Statewide Universal Basic Income,no,,,,,
Economy,EC2,Expand Job Training and Incubator Programs,yes,express these priority sites as development pipeline entries,"Currently no means of specifying additional tables to append to / replace dev pipeline entries with; it seems like this strategy is ""turned on/off"" just by changing the dev pipeline input file",,,
Economy,EC3,Invest in High-Speed Internet in Underserved Low-Income Communities,no,,,,,
Economy,EC4,Allow Greater Commercial Densities in Growth Geographies,yes,Zoning changes to FAR and allowed uses,File it relies on is always implemented since No Project runs have a UGB implemented through the zoning modifications file,,,
Economy,EC5,Provide Incentives to Employers to Shift Jobs to Housing-Rich Areas Well Served by Transit,yes,"Separate employment location choice model step for relocating public sector jobs (NAICS91, 92) - letting them choose locations from transit friendly locations (EC5_Incentivize_Job_Location_PBA50_Plus.shp)",run_jobs_to_transit_strategy_elcm,,,
Economy,EC6,Retain and Invest in Key Industrial Lands,yes,Zoning changes to FAR and allowed uses - but note that for PBA50+ we are shifting to using the dev pipeline instead,File it relies on is always implemented since No Project runs have a UGB implemented through the zoning modifications file,,,
Economy,EC7,Assess Transportation Impact Fees on New Office Developments,yes,Collects fees based on TAZ-level VMT categories and uses them to fill project feasibility gaps,run_vmt_fee_strategy,,,
Economy,EC8,Implement Office Development Caps in Job-Rich Cities,yes,Caps office development based on limits,run_job_cap_strategy,,,
Transportation,T1,"Restore, Operate and Maintain the Existing System",no,,,,,
Transportation,T2,Support Community-Led Transportation Enhancements in Equity Priority Communities,no,,,,,
Transportation,T3,Enable a Seamless Mobility Experience,no,,,,,
Transportation,T4,Reform Regional Transit Fare Policy,no,,,,,
Transportation,T5,Implement Per-Mile Tolling on Congested Freeways with Transit Alternatives,no,,,,,
Transportation,T6,Improve Interchanges and Address Highway Bottlenecks,no,,,,,
Transportation,T7,Advance Other Regional Programs and Local Priorities,no,,,,,
Transportation,T8,Build a Complete Streets Network,no,,,,,
Transportation,T9,Advance Regional Vision Zero Policy through Street Design and Reduced Speeds,no,,,,,
Transportation,T10,"Enhance Local Transit Frequency, Capacity and Reliability",no,,,,,
